"logical_id","expected_relative_path","description","source_product","source_version","years","spatial_resolution","required_by_script","original_local_path_redacted","size_bytes","sha256","checksum_status","redistribution_status","sensitivity_status","reconstruction_instruction"
"tree_cover_loss_tau025","data/tau_var/gfc_year_deforest_majority_tau025_500m_epsg32735.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2001-2022","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/gfc_year_deforest_majority_tau025_500m_epsg32735.tif","14596","faf54fcc310678cf9d572efa16493b09f497731b390a8ae3f0856c2a12587429","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tree_cover_loss_tau050","data/tau_var/gfc_year_deforest_majority_tau050_500m_epsg32735.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2001-2022","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/gfc_year_deforest_majority_tau050_500m_epsg32735.tif","6403","9b8712fdc680505474e5d7ab1b7f4fdf942b3d16c0ec6ddcb1eb29b7e5799a5f","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"agriculture_tau010","data/agri_precomputed_500m/year_agri_500m_tau010_2001_2022.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2001-2022","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/agri_precomputed_500m/year_agri_500m_tau010_2001_2022.tif","34932","576c4ebe208c6b7e049657100bf86fdfb27a61835690e5e0ca085dc6113a9b29","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"agriculture_tau025","data/agri_precomputed_500m/year_agri_500m_tau025_2001_2022.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2001-2022","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/agri_precomputed_500m/year_agri_500m_tau025_2001_2022.tif","21478","6a4c3bcae64e17a1087ec9cc4e78e4c0aa902ab87d1da96c2623237456e0e19b","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"agriculture_tau050","data/agri_precomputed_500m/year_agri_500m_tau050_2001_2022.tif","External or derived input referenced by config/disturbance_threshold_manifest.csv","unknown","unknown","2001-2022","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/agri_precomputed_500m/year_agri_500m_tau050_2001_2022.tif","15540","a06cc3d83db5d9897487325c81c527882fa2ceedaf1ccd2124610654eefb15a4","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2001_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2001","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2001_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2001","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2002_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2002","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2002_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2002","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2003_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2003","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2003_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2003","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2004_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2004","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2004_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2004","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2005_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2005","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2005_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2005","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2006_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2006","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2006_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2006","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2007_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2007","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2007_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2007","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2008_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2008","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2008_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2008","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2009_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2009","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2009_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2009","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2010_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2010","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2010_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2010","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2011_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2011","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2011_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2011","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2012_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2012","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2012_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2012","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2013_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2013","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2013_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2013","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2014_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2014","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2014_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2014","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2015_binary","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2015","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
"tau010_2015_doy","data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","External or derived input referenced by config/fire_harmonized_2001_2022_manifest.csv","ESA/CCI/FireCCI/5_1","unknown","2015","500 m target or source-specific","retained workflow","<configured UPEMBA_DATA_ROOT>/data/tau_var/FireCCI51_season_DOYmin_tau010_and_binary_2001_2020_500m_epsg32735.tif","5381506","5a88b9fcfe419cd9ab245a435ba36b1479109bab45746b308b1d1a103b12dd19","sha256","not assessed; do not redistribute by default","nonredistributable or derived geospatial input","Restore under UPEMBA_DATA_ROOT with this relative path or regenerate from documented workflow."
