"OriginalPath","QuarantinePath","Action","SHA256Before","SHA256After","Reason","DependencyCheck","ValidationStatus"
"outputs\publication\review_v1\main_figures\Figure_3_primary_contrasts.pdf","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_figures\Figure_3_primary_contrasts.pdf","quarantined and removed from canonical","DE13768758E30D3A986EBA2D45E989F05F51DE1992D7897723DDC5BFD7B6DE38","DE13768758E30D3A986EBA2D45E989F05F51DE1992D7897723DDC5BFD7B6DE38","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"outputs\publication\review_v1\main_figures\Figure_3_primary_contrasts.png","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_figures\Figure_3_primary_contrasts.png","quarantined and removed from canonical","070E0DA42CD904279C98A0E4050AD840E62601610B3DDC01C6217AAFF3ED63EB","070E0DA42CD904279C98A0E4050AD840E62601610B3DDC01C6217AAFF3ED63EB","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"outputs\publication\review_v1\main_figures\Figure_4_boundary_location_diagnostic.pdf","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_figures\Figure_4_boundary_location_diagnostic.pdf","quarantined and removed from canonical","11684CF2A04E8B4F918203FAFB5DBD4190A655123908FEE3744253F4FED33696","11684CF2A04E8B4F918203FAFB5DBD4190A655123908FEE3744253F4FED33696","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"outputs\publication\review_v1\main_figures\Figure_4_boundary_location_diagnostic.png","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_figures\Figure_4_boundary_location_diagnostic.png","quarantined and removed from canonical","80F3553A5B3B193C211BD46713E8668F2962A0112814C50752192F82063CFC0C","80F3553A5B3B193C211BD46713E8668F2962A0112814C50752192F82063CFC0C","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"outputs\publication\review_v1\main_tables\Table_1_data_products.csv","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_tables\Table_1_data_products.csv","quarantined and removed from canonical","3FE936EC13A6EB28503DF86F9D9042890CCC0DA166BD98288E03F19D0A86EE74","3FE936EC13A6EB28503DF86F9D9042890CCC0DA166BD98288E03F19D0A86EE74","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"outputs\publication\review_v1\main_tables\Table_1_data_products.html","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_tables\Table_1_data_products.html","quarantined and removed from canonical","F7D89998CD6A1EEF16347047AE29DCF151E76B52C61FDA8AEB3FEF16BA346525","F7D89998CD6A1EEF16347047AE29DCF151E76B52C61FDA8AEB3FEF16BA346525","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"outputs\publication\review_v1\main_tables\Table_2_primary_evidence.csv","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_tables\Table_2_primary_evidence.csv","quarantined and removed from canonical","29752F473967D1FF1637533E50D5F4C8D03076E92CA7794E422163FE3CCE5D85","29752F473967D1FF1637533E50D5F4C8D03076E92CA7794E422163FE3CCE5D85","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"outputs\publication\review_v1\main_tables\Table_2_primary_evidence.html","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\review_v1\main_tables\Table_2_primary_evidence.html","quarantined and removed from canonical","0C6CFED9B9D0C41A7AFFB95B19D449653A49FD7AC11ED725921EC8826363851E","0C6CFED9B9D0C41A7AFFB95B19D449653A49FD7AC11ED725921EC8826363851E","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"reports\publication_outputs\review_v1\event_total_validation.csv","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\reports\publication_outputs\review_v1\event_total_validation.csv","quarantined and removed from canonical","186740579D5E2A07E79110892424D37B60A81A6D7AD8AA03D45FA76F741FDA54","186740579D5E2A07E79110892424D37B60A81A6D7AD8AA03D45FA76F741FDA54","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"reports\publication_outputs\review_v1\main_figure_captions.md","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\reports\publication_outputs\review_v1\main_figure_captions.md","quarantined and removed from canonical","AAA8E16BD96460111A9C4470AFD034CA1C7915DC718D633DE06FE1FC848534D4","AAA8E16BD96460111A9C4470AFD034CA1C7915DC718D633DE06FE1FC848534D4","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"reports\publication_outputs\review_v1\main_table_captions.md","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\reports\publication_outputs\review_v1\main_table_captions.md","quarantined and removed from canonical","F029380AEDC559AEB171DEE15F373CEDDB81D07B58B457782943F2CB5CC28BFA","F029380AEDC559AEB171DEE15F373CEDDB81D07B58B457782943F2CB5CC28BFA","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"reports\publication_outputs\review_v1\publication_output_provenance.csv","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\reports\publication_outputs\review_v1\publication_output_provenance.csv","quarantined and removed from canonical","076D61A9E36858776C5ECE8B7012920D2C3E64BCAFA68ECA07E81490F414EBA7","076D61A9E36858776C5ECE8B7012920D2C3E64BCAFA68ECA07E81490F414EBA7","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"reports\publication_outputs\review_v1\publication_output_validation.md","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\reports\publication_outputs\review_v1\publication_output_validation.md","quarantined and removed from canonical","9FD8D5DD139CED40CE6397B6F976D41FBD098FA945C067A16E7C623F979DDC57","9FD8D5DD139CED40CE6397B6F976D41FBD098FA945C067A16E7C623F979DDC57","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"outputs\publication\supplement\Chapter1_Supplementary_Material.docx","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\outputs\publication\supplement\Chapter1_Supplementary_Material.docx","quarantined and removed from canonical","EB19699CC13C783FE51F7E7AB336EAC494BC675575641882C96522FDE7789892","EB19699CC13C783FE51F7E7AB336EAC494BC675575641882C96522FDE7789892","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
"chapter 1 manuscript.docx","C:\0_Documents\_upemba_boundary_cleanup_quarantine_20260626_115034\from_upemba-boundary-disturbance\chapter 1 manuscript.docx","quarantined and removed from canonical","A1ED3E537DA132B601C8CB4EFF3D5D46A65B5D165FA4C19F94A020462E42401B","A1ED3E537DA132B601C8CB4EFF3D5D46A65B5D165FA4C19F94A020462E42401B","duplicate, obsolete, or superseded publication artifact","not referenced by final manifest or final output names","hash verified"
