Outcome,Spatial domain,Estimand type,Profile or comparison,Estimate,SE,Lower 95%,Upper 95%,Event support,Model,Fit validity,Interpretation
Agricultural expansion,5 km,Pairwise difference,Park-centred control minus Fragmented control,-0.44469922632931,,-1.06351086514251,0.174112412483894,392,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,10 km,Profile contrast,Militia-centred control,0.221756230967078,,-0.048299693024539,0.491812154958695,518,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Agricultural expansion,10 km,Profile contrast,Fragmented control,0.286485847450869,,-0.16429994564532,0.737271640547059,518,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Agricultural expansion,10 km,Profile contrast,Park-centred control,-0.346961114977916,,-0.656863988866315,-0.0370582410895171,518,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Agricultural expansion,10 km,Pairwise difference,Militia-centred control minus Fragmented control,-0.0647296164837915,,-0.634439696893608,0.504980463926025,518,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Agricultural expansion,10 km,Pairwise difference,Park-centred control minus Militia-centred control,-0.568717345944994,,-1.00092366706052,-0.136511024829467,518,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Agricultural expansion,10 km,Pairwise difference,Park-centred control minus Fragmented control,-0.633446962428786,,-1.24385778329436,-0.0230361415632143,518,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Agricultural expansion,20 km,Profile contrast,Militia-centred control,0.201193451065005,,-0.0883021205418738,0.490689022671884,587,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,20 km,Profile contrast,Fragmented control,0.225220552709169,,-0.222566315577282,0.673007420995621,587,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,20 km,Profile contrast,Park-centred control,-0.529291276377136,,-0.874277324891246,-0.184305227863025,587,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,20 km,Pairwise difference,Militia-centred control minus Fragmented control,-0.0240271016441642,,-0.564986631702188,0.51693242841386,587,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,20 km,Pairwise difference,Park-centred control minus Militia-centred control,-0.730484727442141,,-1.18067329165728,-0.280296163227002,587,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Agricultural expansion,20 km,Pairwise difference,Park-centred control minus Fragmented control,-0.754511829086305,,-1.35836403742776,-0.150659620744849,587,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Fire,All cells,Profile contrast,Militia-centred control,0.0548156654010484,,-0.0595593242519776,0.169190655054074,2468094,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,All cells,Profile contrast,Fragmented control,0.192983453949622,,0.0899105339577348,0.296056373941509,2468094,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,All cells,Profile contrast,Park-centred control,0.118601107601585,,0.0131637707257074,0.224038444477462,2468094,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,All cells,Pairwise difference,Militia-centred control minus Fragmented control,-0.138167788548574,,-0.292133727715505,0.0157981506183571,2468094,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,All cells,Pairwise difference,Park-centred control minus Militia-centred control,0.0637854422005362,,-0.0917734202444896,0.219344304645562,2468094,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,All cells,Pairwise difference,Park-centred control minus Fragmented control,-0.0743823463480376,,-0.221829906796421,0.0730652141003459,2468094,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,5 km,Profile contrast,Militia-centred control,0.0216974358918258,,,,252143,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,5 km,Profile contrast,Fragmented control,0.0918668703928283,,,,252143,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,5 km,Profile contrast,Park-centred control,0.00729583031224175,,,,252143,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,5 km,Pairwise difference,Militia-centred control minus Fragmented control,-0.0701694345010025,,,,252143,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,5 km,Pairwise difference,Park-centred control minus Militia-centred control,-0.014401605579584,,,,252143,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,5 km,Pairwise difference,Park-centred control minus Fragmented control,-0.0845710400805865,,,,252143,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,10 km,Profile contrast,Militia-centred control,0.0107091233715076,0.0330098626703633,-0.0539890185970177,0.0754072653400329,508320,fire_beta_binomial,strict-valid,primary spatial estimand
Fire,10 km,Profile contrast,Fragmented control,0.170288429758373,0.0297450591051261,0.111989185194311,0.228587674322435,508320,fire_beta_binomial,strict-valid,primary spatial estimand
Fire,10 km,Profile contrast,Park-centred control,0.0678282180423288,0.0305524668753538,0.00794648332778246,0.127709952756875,508320,fire_beta_binomial,strict-valid,primary spatial estimand
Fire,10 km,Pairwise difference,Militia-centred control minus Fragmented control,-0.159579306386865,0.0444340886528708,-0.246668519832352,-0.0724900929413787,508320,fire_beta_binomial,strict-valid,primary spatial estimand
Fire,10 km,Pairwise difference,Park-centred control minus Militia-centred control,0.0571190946708212,0.0449781665061582,-0.0310364917718946,0.145274681113537,508320,fire_beta_binomial,strict-valid,primary spatial estimand
Fire,10 km,Pairwise difference,Park-centred control minus Fragmented control,-0.102460211716044,0.0426402589370402,-0.186033583524105,-0.0188868399079833,508320,fire_beta_binomial,strict-valid,primary spatial estimand
Fire,20 km,Profile contrast,Militia-centred control,0.0316884680448249,,,,928993,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,20 km,Profile contrast,Fragmented control,0.193955801128808,,,,928993,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,20 km,Profile contrast,Park-centred control,0.143636087207339,,,,928993,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,20 km,Pairwise difference,Militia-centred control minus Fragmented control,-0.162267333083983,,,,928993,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,20 km,Pairwise difference,Park-centred control minus Militia-centred control,0.111947619162514,,,,928993,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Fire,20 km,Pairwise difference,Park-centred control minus Fragmented control,-0.0503197139214688,,,,928993,fire_beta_binomial,see fire diagnostics,spatial-domain sensitivity
Tree-cover loss,All cells,Profile contrast,Militia-centred control,-1.78735867378529,,-2.49646182629597,-1.07825552127462,5460,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,All cells,Profile contrast,Fragmented control,-1.1717332924866,,-1.7272551533537,-0.616211431619489,5460,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,All cells,Profile contrast,Park-centred control,-2.60387496661614,,-3.40015021003157,-1.80759972320071,5460,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,All cells,Pairwise difference,Militia-centred control minus Fragmented control,-0.615625381298696,,-1.46250026994445,0.23124950734706,5460,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,All cells,Pairwise difference,Park-centred control minus Militia-centred control,-0.816516292830847,,-1.71994533794573,0.0869127522840374,5460,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,All cells,Pairwise difference,Park-centred control minus Fragmented control,-1.43214167412954,,-2.15670636292173,-0.707576985337362,5460,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,5 km,Profile contrast,Militia-centred control,-0.381615789227368,,-0.944970158934542,0.181738580479807,313,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,5 km,Profile contrast,Fragmented control,-0.269069791875303,,-0.715546708515628,0.177407124765023,313,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,5 km,Profile contrast,Park-centred control,-0.874189846920088,,-1.4506137906919,-0.297765903148278,313,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,5 km,Pairwise difference,Militia-centred control minus Fragmented control,-0.112545997352065,,-0.819865525395645,0.594773530691514,313,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,5 km,Pairwise difference,Park-centred control minus Militia-centred control,-0.492574057692721,,-1.25909218729625,0.273944071910811,313,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,5 km,Pairwise difference,Park-centred control minus Fragmented control,-0.605120055044786,,-1.26267178475983,0.0524316746702584,313,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,10 km,Profile contrast,Militia-centred control,-0.897845233263081,,-1.50861927253348,-0.287071193992687,519,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Tree-cover loss,10 km,Profile contrast,Fragmented control,-0.846081473790374,,-1.29294886235021,-0.399214085230542,519,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Tree-cover loss,10 km,Profile contrast,Park-centred control,-1.43025410197535,,-1.9411127128937,-0.919395491057002,519,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Tree-cover loss,10 km,Pairwise difference,Militia-centred control minus Fragmented control,-0.0517637594727072,,-0.814222349695374,0.710694830749959,519,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Tree-cover loss,10 km,Pairwise difference,Park-centred control minus Militia-centred control,-0.532408868712269,,-1.32116053973269,0.256342802308155,519,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Tree-cover loss,10 km,Pairwise difference,Park-centred control minus Fragmented control,-0.584172628184976,,-1.25535322942294,0.0870079730529867,519,sparse_two_stage_weighted,accepted two-stage estimate,primary spatial estimand
Tree-cover loss,20 km,Profile contrast,Militia-centred control,-1.40017809124029,,-2.10377001976524,-0.69658616271533,876,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,20 km,Profile contrast,Fragmented control,-0.986132733969093,,-1.43676702328889,-0.535498444649298,876,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,20 km,Profile contrast,Park-centred control,-1.93248235382747,,-2.59491117569493,-1.27005353196001,876,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,20 km,Pairwise difference,Militia-centred control minus Fragmented control,-0.414045357271192,,-1.22835982657181,0.400269112029423,876,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,20 km,Pairwise difference,Park-centred control minus Militia-centred control,-0.532304262587183,,-1.44766729227208,0.383058767097717,876,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
Tree-cover loss,20 km,Pairwise difference,Park-centred control minus Fragmented control,-0.946349619858375,,-1.65408112682661,-0.238618112890139,876,sparse_two_stage_weighted,accepted two-stage estimate,spatial-domain sensitivity
