"script","dependency_type","dependency","included_in_candidate","logical_path","required_for","notes"
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(dist_dom500_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(fire500_stack_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(fire_2021_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(fire_2022_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(agri_year_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(dem_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(bin1)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/02_construct_landscape_groups.R","rast","rast(template)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/03_prepare_cell_year_data.R","rast","rast(cov_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/03_prepare_cell_year_data.R","rast","rast(sesu_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","source","source(normalizePath(file.path(script_dir, "".."", "".."", ""config"", ""analysis_config.R"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(cov_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(sesu_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","fread","fread(file.path(CH1_ROOT, ""config"", ""disturbance_threshold_manifest.csv"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(jf)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(bin_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(doy_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(file.path(CH1_ROOT, ""data"", ""fire_precomputed_500m"", sprintf(""fireBurned_AprOct_%d_500m_tau025.tif"", year)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(file.path(CH1_ROOT, ""data"", ""fire_precomputed_500m"", sprintf(""fireDOY_max_AprOct_%d_500m_tau025.tif"", year)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(file.path(FIRE_OUT_DIR, sprintf(""fireBurned_AprOct_%d_500m_%s_harmonized.tif"", year, tag)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(fire_stack_path(tag)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","fread","fread(CH1_GOVERNANCE_PROFILE_PATH)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(fire_stack_path(tag)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(bp)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/preprocessing/04_harmonize_fire_2021_2022.R","rast","rast(dp)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/01_fit_governance_profile_models.R","source","source(config_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/01_fit_governance_profile_models.R","fread","fread(CH1_GOVERNANCE_PROFILE_PATH)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/01_fit_governance_profile_models.R","fread","fread(file.path(CH1_RUN_DIR, ""rs_surfaces_long.csv"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/02_fit_sparse_outcomes_and_profile_robustness.R","source","source(config_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/02_fit_sparse_outcomes_and_profile_robustness.R","fread","fread(path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/02_fit_sparse_outcomes_and_profile_robustness.R","fread","fread(file.path(CH1_RUN_DIR, ""rs_surfaces_long.csv"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/02_fit_sparse_outcomes_and_profile_robustness.R","fread","fread(file.path(CH1_TABLES_DIR, ""profile_specific_inside_outside_contrasts.csv"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/02_fit_sparse_outcomes_and_profile_robustness.R","fread","fread(file.path(CH1_TABLES_DIR, ""profile_pairwise_contrast_differences.csv"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/03_refine_fire_10km_optimizer.R","source","source(normalizePath(file.path(script_dir, "".."", "".."", ""config"", ""analysis_config.R"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/03_refine_fire_10km_optimizer.R","fread","fread(surface_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/03_refine_fire_10km_optimizer.R","fread","fread(phase5_diag_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/03_refine_fire_10km_optimizer.R","fread","fread(phase5_profile_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/analysis/03_refine_fire_10km_optimizer.R","fread","fread(phase5_pair_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","source","source(config_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","fread","fread(manifest_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(cov_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(sesu_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(validation$abs_path[i])","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","fread","fread(CH1_GOVERNANCE_PROFILE_PATH)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(phase3_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(phase_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(phase_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(phase_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(phase_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(fire_stack_path(tag)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(fire_annual_path(tag, yr)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","rast","rast(event_path(outcome, tag)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/01_run_spatial_threshold_sensitivity.R","fread","fread(file.path(CH1_RUN_DIR, ""rs_surfaces_long.csv"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","source","source(normalizePath(file.path(script_dir, "".."", "".."", ""config"", ""analysis_config.R"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(cov_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(sesu_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","fread","fread(file.path(CH1_ROOT, ""config"", ""disturbance_threshold_manifest.csv"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","fread","fread(file.path(CH1_ROOT, ""config"", ""disturbance_measurement_versions.csv"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","fread","fread(CH1_GOVERNANCE_PROFILE_PATH)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(fire_stack_path(tag)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(fire_binary_path(tag, year)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(event_path(outcome_name, tag)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(fire_stack_path(tag)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(fire_binary_path(tag, yr)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(dp)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(event_path(""tree_cover_loss"", tag)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","rast","rast(event_path(""tree_cover_loss"", ""tau025"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/02_audit_measurement_harmonization.R","fread","fread(canonical_surface_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","source","source(normalizePath(file.path(script_dir, "".."", "".."", ""config"", ""analysis_config.R"")","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","fread","fread(old_registry_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","rast","rast(cov_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","rast","rast(sesu_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","fread","fread(CH1_GOVERNANCE_PROFILE_PATH)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","fread","fread(fire_manifest_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","rast","rast(p)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","fread","fread(fire_ref_profile_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","fread","fread(fire_ref_pair_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","fread","fread(fire_ref_diag_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","fread","fread(sparse_ref_profile_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
"scripts/sensitivity/03_run_revised_boundary_falsification.R","fread","fread(sparse_ref_pair_path)","contextual","see expression","parse/runtime dependency","External data are manifest-only."
